reading_id,temp_c
R0000,19.9869
R0001,21.1248
R0002,22.5744
R0003,21.5755
R0004,19.9525
R0005,21.0989
R0006,21.2486
R0007,24.9701
R0008,23.2271
R0009,20.5048
R0010,19.5508
R0011,19.9663
R0012,21.4086
R0013,18.2857
R0014,21.0861
R0015,17.2101
R0016,21.8326
R0017,22.5080
R0018,18.5706
R0019,28.3033
R0020,23.5504
R0021,21.5691
R0022,23.5020
R0023,25.9003
R0024,21.3006
R0025,21.8809
R0026,23.0932
R0027,21.0079
R0028,20.4754
R0029,24.6459
R0030,22.3659
R0031,18.1910
R0032,17.5633
R0033,20.1506
R0034,21.7307
R0035,22.8753
R0036,18.6639
R0037,21.7772
R0038,21.7956
R0039,22.5979
R0040,18.8841
R0041,20.7656
R0042,21.2164
R0043,22.2642
R0044,21.2184
R0045,17.5141
R0046,24.5269
R0047,20.8778
R0048,22.3557
R0049,21.4708
R0050,20.8771
R0051,22.3621
R0052,22.2495
R0053,21.1461
R0054,20.9894
R0055,22.3302
R0056,22.9277
R0057,20.5593
R0058,23.4447
R0059,25.9120
R0060,26.7152
R0061,23.4306
R0062,20.3964
R0063,18.8047
R0064,19.3957
R0065,23.8118
R0066,21.1412
R0067,21.5450
R0068,22.0175
R0069,26.5398
R0070,22.1815
R0071,20.0781
R0072,21.7693
R0073,22.1972
R0074,20.7151
R0075,17.9752
R0076,21.9040
R0077,21.9470
R0078,22.5719
R0079,20.5331
R0080,25.8670
R0081,21.9851
R0082,21.2675
R0083,20.6663
R0084,22.3523
R0085,20.3298
R0086,22.3588
R0087,20.5383
R0088,20.8314
R0089,21.4537
R0090,20.0357
R0091,23.6814
R0092,23.1337
R0093,18.3759
R0094,20.8438
R0095,19.2674
R0096,21.5102
R0097,21.8330
R0098,23.0353
R0099,22.3917
R0100,21.7494
R0101,23.9957
R0102,23.2303
R0103,22.6298
R0104,19.7276
R0105,24.2547
R0106,20.7458
R0107,20.6905
R0108,24.0248
R0109,20.4412
R0110,20.7537
R0111,19.2739
R0112,22.1857
R0113,20.9976
R0114,22.5436
R0115,22.8012
R0116,21.4171
R0117,25.2611
R0118,22.4136
R0119,22.1689
R0120,20.7967
R0121,20.0847
R0122,20.0465
R0123,20.8891
R0124,21.0808
R0125,19.6859
R0126,24.1268
R0127,21.2532
R0128,29.7785
R0129,22.5951
R0130,21.9342
R0131,22.1131
R0132,21.8289
R0133,25.2222
R0134,22.9235
R0135,17.9128
R0136,21.6254
R0137,21.3091
R0138,23.8633
R0139,21.7866
R0140,22.3247
R0141,23.8010
R0142,18.4674
R0143,24.4136
R0144,22.3725
R0145,22.8761
R0146,23.0708
R0147,22.4273
R0148,23.2799
R0149,20.8389
R0150,18.5659
R0151,20.2249
R0152,18.4389
R0153,21.2098
R0154,23.4772
R0155,21.8326
R0156,22.7650
R0157,22.1004
R0158,20.8243
R0159,22.1599
R0160,19.5854
R0161,23.7193
R0162,20.4025
R0163,21.2783
R0164,23.0037
R0165,21.7567
R0166,20.6163
R0167,22.7239
R0168,19.6483
R0169,21.3105
R0170,23.0936
R0171,23.9405
R0172,20.2262
R0173,20.2252
R0174,22.4746
R0175,22.8087
R0176,20.9177
R0177,23.9858
R0178,25.2050
R0179,19.2586
R0180,22.5423
R0181,20.4240
R0182,19.2601
R0183,23.0605
R0184,20.8483
R0185,21.2164
R0186,20.5085
R0187,28.4453
R0188,23.1998
R0189,22.3151
R0190,20.9048
R0191,23.4584
R0192,17.7522
R0193,22.9521
R0194,28.0625
R0195,22.1088
R0196,22.1419
R0197,20.4117
R0198,25.9023
R0199,24.8056
R0200,23.2683
R0201,23.8961
R0202,21.2031
R0203,20.8233
R0204,20.1946
R0205,21.0003
R0206,21.1667
R0207,21.2148
R0208,20.2287
R0209,20.1376
R0210,22.0592
R0211,23.2295
R0212,22.2858
R0213,23.0494
R0214,23.1014
R0215,23.1401
R0216,21.9083
R0217,21.6876
R0218,22.0469
R0219,20.0241
R0220,23.1440
R0221,20.5125
R0222,25.7391
R0223,20.1562
R0224,19.4733
R0225,21.7244
R0226,22.9573
R0227,19.3835
R0228,18.9028
R0229,19.0417
R0230,21.9266
R0231,21.5353
R0232,20.7502
R0233,18.6362
R0234,22.5651
R0235,20.1576
R0236,21.5803
R0237,22.2887
R0238,19.2620
R0239,21.5250
R0240,21.6941
R0241,20.1630
R0242,19.0818
R0243,21.0611
R0244,22.1794
R0245,19.0138
R0246,20.1498
R0247,20.4818
R0248,22.7733
R0249,21.6056
R0250,23.2330
R0251,23.7823
R0252,17.9017
R0253,17.2919
R0254,21.1459
R0255,24.7203
R0256,22.1832
R0257,23.0595
R0258,15.7274
R0259,21.9579
R0260,20.4196
R0261,22.8264
R0262,21.5809
R0263,21.5329
R0264,26.1955
R0265,20.4767
R0266,18.4693
R0267,23.7363
R0268,28.8589
R0269,23.8496
R0270,23.0043
R0271,20.8708
R0272,22.2937
R0273,18.3123
R0274,27.8859
R0275,20.7936
R0276,23.0205
R0277,29.5322
R0278,23.2153
R0279,21.0036
R0280,19.4114
R0281,20.4281
R0282,22.0683
R0283,21.8397
R0284,21.3884
R0285,22.5511
R0286,24.7298
R0287,21.0841
R0288,26.0338
R0289,21.2360
R0290,19.2436
R0291,19.4131
R0292,20.9530
R0293,22.1655
R0294,19.4542
R0295,22.1799
R0296,19.8959
R0297,23.1489
R0298,15.9610
R0299,19.7721
R0300,19.1209
R0301,21.8812
R0302,23.2305
R0303,20.3552
R0304,18.9417
R0305,19.8640
R0306,18.7619
R0307,18.8965
R0308,22.6357
R0309,22.5621
R0310,22.4992
R0311,20.9813
R0312,18.1827
R0313,22.0677
R0314,20.0405
R0315,23.0383
R0316,27.6889
R0317,22.6728
R0318,24.0965
R0319,18.3901
R0320,22.1940
R0321,22.2774
R0322,21.1626
R0323,20.3891
R0324,23.7565
R0325,19.6655
R0326,23.8040
R0327,20.1241
R0328,23.4339
R0329,22.0870
R0330,20.8298
R0331,20.7918
R0332,21.2396
R0333,21.6009
R0334,21.2805
R0335,21.0568
R0336,21.0502
R0337,20.4886
R0338,26.6021
R0339,18.1215
R0340,20.3728
R0341,22.2456
R0342,22.9391
R0343,20.2372
R0344,22.3769
R0345,23.6982
R0346,17.9090
R0347,22.9346
R0348,23.2860
R0349,19.8598
R0350,23.6640
R0351,20.4593
R0352,19.6568
R0353,26.8905
R0354,24.5162
R0355,16.9393
R0356,21.9195
R0357,21.4341
R0358,17.6551
R0359,19.5541
R0360,24.4774
R0361,21.6349
R0362,20.7765
R0363,20.7634
R0364,20.4515
R0365,21.9683
R0366,22.6933
R0367,20.9175
R0368,19.7275
R0369,21.1768
R0370,19.2028
R0371,20.1957
R0372,23.0698
R0373,20.5248
R0374,21.1414
R0375,21.6321
R0376,22.7277
R0377,23.2164
R0378,20.7329
R0379,21.8218
R0380,26.6705
R0381,23.9990
R0382,21.7933
R0383,18.8897
R0384,20.0225
R0385,23.3631
R0386,22.8381
R0387,18.4230
R0388,22.8229
R0389,22.1916
R0390,23.5180
R0391,19.5875
R0392,24.0104
R0393,21.5293
R0394,22.6140
R0395,22.5326
R0396,23.0917
R0397,23.5196
R0398,24.0664
R0399,22.3821
R0400,19.1782
R0401,21.4959
R0402,18.0297
R0403,21.0862
R0404,20.3121
R0405,21.2566
R0406,22.1634
R0407,25.2241
R0408,17.6066
R0409,25.3139
R0410,19.9939
R0411,24.9935
R0412,26.0100
R0413,19.9051
R0414,24.0316
R0415,22.5147
R0416,20.3909
R0417,26.4462
R0418,22.0731
R0419,23.1807
R0420,21.8466
R0421,24.3663
R0422,19.7126
R0423,22.2035
R0424,20.4953
R0425,19.1498
R0426,19.6952
R0427,19.5324
R0428,23.4715
R0429,20.8967
R0430,20.5312
R0431,21.2924
R0432,22.1141
R0433,19.5683
R0434,20.7915
R0435,19.8085
R0436,24.5584
R0437,20.8031
R0438,21.0448
R0439,17.5911
R0440,20.0972
R0441,21.9407
R0442,19.9246
R0443,19.4020
R0444,20.6832
R0445,20.6811
R0446,20.4168
R0447,17.6780
R0448,19.8633
R0449,23.4063
R0450,22.4335
R0451,22.7973
R0452,21.0564
R0453,22.4321
R0454,19.3262
R0455,22.3715
R0456,16.6189
R0457,25.2592
R0458,20.6679
R0459,24.2155
R0460,23.4112
R0461,23.6140
R0462,23.9480
R0463,18.9509
R0464,19.9231
R0465,22.3813
R0466,18.7344
R0467,24.1927
R0468,23.7601
R0469,21.1607
R0470,21.5187
R0471,23.1407
R0472,23.8659
R0473,21.9380
R0474,19.6254
R0475,19.7991
R0476,19.8144
R0477,17.8237
R0478,21.4492
R0479,17.1425
R0480,19.6872
R0481,20.0425
R0482,22.3287
R0483,21.8368
R0484,21.2007
R0485,21.7399
R0486,20.0558
R0487,20.7225
R0488,20.9912
R0489,19.9901
R0490,24.5565
R0491,20.7777
R0492,21.9185
R0493,20.4774
R0494,21.3159
R0495,17.5723
R0496,19.2760
R0497,21.2780
R0498,21.3744
R0499,22.1736
R0500,20.1396
R0501,22.0202
R0502,21.6541
R0503,21.6165
R0504,22.0382
R0505,21.6799
R0506,25.6136
R0507,21.9334
R0508,19.9891
R0509,21.4704
R0510,20.6712
R0511,22.9338
R0512,24.4494
R0513,19.0478
R0514,23.4058
R0515,21.3462
R0516,21.2165
R0517,22.0979
R0518,20.2913
R0519,20.5747
R0520,24.4261
R0521,22.8462
R0522,18.6611
R0523,24.2682
R0524,19.9062
R0525,18.8929
R0526,19.5089
R0527,25.1208
R0528,22.1394
R0529,19.1229
R0530,24.2409
R0531,22.0285
R0532,24.0076
R0533,20.2287
R0534,20.0537
R0535,21.2386
R0536,22.9939
R0537,18.3348
R0538,22.9907
R0539,20.1648
R0540,20.9250
R0541,21.0497
R0542,24.4976
R0543,23.5494
R0544,22.3125
R0545,26.4839
R0546,19.4398
R0547,21.9900
R0548,18.8752
R0549,22.6899
R0550,25.5148
R0551,22.5463
R0552,19.7808
R0553,20.5940
R0554,22.4604
R0555,23.6909
R0556,19.6572
R0557,20.7885
R0558,20.4463
R0559,21.5671
R0560,21.9726
R0561,21.7742
R0562,18.9274
R0563,21.1256
R0564,23.2468
R0565,18.8613
R0566,24.4226
R0567,22.2550
R0568,22.2577
R0569,21.7237
R0570,21.3582
R0571,22.6273
R0572,22.8686
R0573,29.4830
R0574,19.9244
R0575,20.9491
R0576,21.3410
R0577,23.5224
R0578,20.4952
R0579,27.6936
R0580,22.7134
R0581,20.6815
R0582,18.4917
R0583,19.0313
R0584,22.0156
R0585,23.3562
R0586,21.5118
R0587,22.9361
R0588,20.8632
R0589,23.2865
R0590,23.9511
R0591,24.4020
R0592,25.5558
R0593,17.1920
R0594,19.2384
R0595,28.5582
R0596,23.1151
R0597,21.3826
R0598,22.3365
R0599,23.7593
R0600,20.1823
R0601,20.7950
R0602,18.8104
R0603,18.2169
R0604,21.2083
R0605,20.6305
R0606,20.8084
R0607,21.5114
R0608,20.4652
R0609,18.4059
R0610,20.4655
R0611,20.4934
R0612,19.7113
R0613,21.6144
R0614,22.5020
R0615,20.5908
R0616,20.3886
R0617,19.6929
R0618,23.8404
R0619,20.0555
R0620,19.9306
R0621,22.5955
R0622,22.0198
R0623,28.6738
R0624,20.0656
R0625,21.9389
R0626,19.7235
R0627,18.7317
R0628,22.8569
R0629,18.7716
R0630,22.8910
R0631,25.3260
R0632,21.1879
R0633,24.7719
R0634,21.8496
R0635,18.8732
R0636,18.7790
R0637,17.4427
R0638,20.2149
R0639,20.3895
R0640,21.8601
R0641,23.8936
R0642,19.7488
R0643,22.7093
R0644,21.0383
R0645,18.1180
R0646,21.1647
R0647,21.4438
R0648,22.9837
R0649,20.2128
R0650,20.9983
R0651,24.3284
R0652,23.6829
R0653,26.1776
R0654,18.7477
R0655,21.1382
R0656,20.5340
R0657,24.1450
R0658,22.5504
R0659,20.3561
R0660,22.6091
R0661,21.4051
R0662,19.1611
R0663,22.8800
R0664,20.3012
R0665,22.0366
R0666,22.9881
R0667,24.0505
R0668,26.4873
R0669,23.4195
R0670,21.8220
R0671,21.7416
R0672,24.2716
R0673,23.4910
R0674,21.1400
R0675,19.8263
R0676,20.5122
R0677,20.7880
R0678,19.7003
R0679,20.3613
R0680,19.4870
R0681,22.1577
R0682,20.1475
R0683,19.8742
R0684,22.2398
R0685,24.6877
