sample_id,group,latency_ms
S0000,A,122.178
S0001,A,90.457
S0002,A,181.040
S0003,A,100.837
S0004,A,40.590
S0005,A,89.579
S0006,A,175.525
S0007,A,106.758
S0008,A,65.936
S0009,A,83.330
S0010,A,58.533
S0011,A,70.957
S0012,A,125.058
S0013,A,87.240
S0014,A,107.927
S0015,A,83.176
S0016,A,114.465
S0017,A,80.322
S0018,A,106.229
S0019,A,101.409
S0020,A,97.014
S0021,A,88.273
S0022,A,110.378
S0023,A,143.810
S0024,A,87.688
S0025,A,130.650
S0026,A,57.269
S0027,A,127.584
S0028,A,111.709
S0029,A,97.066
S0030,A,54.506
S0031,A,109.132
S0032,A,89.717
S0033,A,178.312
S0034,A,68.927
S0035,A,52.332
S0036,A,106.986
S0037,A,154.158
S0038,A,86.453
S0039,A,192.511
S0040,A,122.164
S0041,A,111.610
S0042,A,106.685
S0043,A,129.664
S0044,A,99.673
S0045,A,94.460
S0046,A,172.560
S0047,A,191.666
S0048,A,113.726
S0049,A,94.718
S0050,A,62.835
S0051,A,143.124
S0052,A,116.979
S0053,A,121.834
S0054,A,87.643
S0055,A,95.424
S0056,A,75.564
S0057,A,84.620
S0058,A,95.321
S0059,A,221.446
S0060,A,123.056
S0061,A,72.016
S0062,A,161.736
S0063,A,101.646
S0064,A,110.949
S0065,A,90.666
S0066,A,133.845
S0067,A,83.051
S0068,A,100.134
S0069,A,95.848
S0070,A,96.245
S0071,A,88.041
S0072,A,102.208
S0073,A,122.708
S0074,A,51.600
S0075,A,80.817
S0076,A,105.154
S0077,A,74.120
S0078,A,58.498
S0079,A,174.753
S0080,A,108.178
S0081,A,63.024
S0082,A,91.013
S0083,A,78.134
S0084,A,89.578
S0085,A,61.893
S0086,A,121.799
S0087,A,53.236
S0088,A,115.479
S0089,A,159.079
S0090,A,73.577
S0091,A,97.141
S0092,A,64.284
S0093,A,109.570
S0094,A,139.094
S0095,A,100.058
S0096,A,60.766
S0097,A,133.406
S0098,A,115.697
S0099,A,79.196
S0100,A,85.178
S0101,A,68.946
S0102,A,81.635
S0103,A,67.437
S0104,A,138.093
S0105,A,81.863
S0106,A,72.524
S0107,A,49.893
S0108,A,72.316
S0109,A,84.195
S0110,A,94.484
S0111,A,69.605
S0112,A,50.869
S0113,A,69.579
S0114,A,98.153
S0115,A,110.495
S0116,A,102.636
S0117,A,88.140
S0118,A,57.014
S0119,A,69.377
S0120,A,68.419
S0121,A,59.095
S0122,A,76.627
S0123,A,161.579
S0124,A,85.686
S0125,A,46.993
S0126,A,75.672
S0127,A,82.654
S0128,A,104.137
S0129,A,136.200
S0130,A,144.060
S0131,A,92.460
S0132,A,96.130
S0133,A,117.299
S0134,A,151.319
S0135,A,158.658
S0136,A,57.182
S0137,A,65.665
S0138,A,73.217
S0139,A,163.406
S0140,A,98.837
S0141,A,70.740
S0142,A,95.278
S0143,A,117.889
S0144,A,112.551
S0145,A,59.567
S0146,A,122.767
S0147,A,88.813
S0148,A,102.626
S0149,A,124.977
S0150,A,116.202
S0151,A,142.197
S0152,A,148.152
S0153,A,124.943
S0154,A,175.414
S0155,A,104.739
S0156,A,105.760
S0157,A,48.994
S0158,A,86.611
S0159,A,101.778
S0160,A,79.456
S0161,A,105.755
S0162,A,114.659
S0163,A,94.374
S0164,A,77.290
S0165,A,144.367
S0166,A,72.187
S0167,A,129.916
S0168,A,68.630
S0169,A,75.145
S0170,A,72.293
S0171,A,116.487
S0172,A,71.942
S0173,A,142.240
S0174,A,64.905
S0175,A,109.872
S0176,A,58.190
S0177,A,101.888
S0178,A,151.254
S0179,A,81.951
S0180,A,191.912
S0181,A,95.781
S0182,A,92.621
S0183,A,98.315
S0184,A,102.345
S0185,A,74.640
S0186,A,77.455
S0187,A,84.376
S0188,A,66.288
S0189,A,55.846
S0190,A,74.296
S0191,A,122.253
S0192,A,67.361
S0193,A,103.715
S0194,A,65.380
S0195,A,106.919
S0196,A,112.012
S0197,A,98.200
S0198,A,133.905
S0199,A,79.467
S0200,A,67.941
S0201,A,99.155
S0202,A,167.820
S0203,A,133.949
S0204,A,105.093
S0205,A,92.485
S0206,A,66.668
S0207,A,50.093
S0208,A,89.461
S0209,A,81.998
S0210,A,76.215
S0211,A,64.547
S0212,A,101.289
S0213,A,114.935
S0214,A,190.261
S0215,A,78.552
S0216,A,125.902
S0217,A,73.767
S0218,A,90.179
