event_id,category
E0000,view
E0001,view
E0002,invite
E0003,login
E0004,click
E0005,view
E0006,view
E0007,view
E0008,click
E0009,login
E0010,search
E0011,share
E0012,view
E0013,purchase
E0014,logout
E0015,view
E0016,view
E0017,login
E0018,share
E0019,logout
E0020,upload
E0021,view
E0022,view
E0023,search
E0024,purchase
E0025,view
E0026,login
E0027,view
E0028,view
E0029,comment
E0030,view
E0031,click
E0032,view
E0033,search
E0034,view
E0035,share
E0036,view
E0037,view
E0038,view
E0039,login
E0040,logout
E0041,search
E0042,download
E0043,click
E0044,view
E0045,click
E0046,view
E0047,purchase
E0048,search
E0049,click
E0050,logout
E0051,comment
E0052,click
E0053,comment
E0054,view
E0055,logout
E0056,share
E0057,click
E0058,comment
E0059,refund
E0060,view
E0061,click
E0062,click
E0063,view
E0064,search
E0065,click
E0066,view
E0067,search
E0068,view
E0069,click
E0070,click
E0071,purchase
E0072,click
E0073,logout
E0074,purchase
E0075,search
E0076,view
E0077,search
E0078,invite
E0079,click
E0080,download
E0081,search
E0082,logout
E0083,view
E0084,search
E0085,click
E0086,login
E0087,view
E0088,share
E0089,purchase
E0090,comment
E0091,upload
E0092,purchase
E0093,search
E0094,click
E0095,view
E0096,purchase
E0097,click
E0098,purchase
E0099,search
E0100,view
E0101,logout
E0102,click
E0103,login
E0104,click
E0105,search
E0106,login
E0107,purchase
E0108,click
E0109,comment
E0110,view
E0111,upload
E0112,comment
E0113,login
E0114,click
E0115,purchase
E0116,click
E0117,view
E0118,search
E0119,purchase
E0120,login
E0121,search
E0122,purchase
E0123,search
E0124,login
E0125,view
E0126,download
E0127,view
E0128,view
E0129,view
E0130,login
E0131,view
E0132,view
E0133,login
E0134,view
E0135,view
E0136,click
E0137,view
E0138,upload
E0139,click
E0140,view
E0141,purchase
E0142,purchase
E0143,view
E0144,login
E0145,logout
E0146,view
E0147,login
E0148,refund
E0149,download
E0150,login
E0151,login
E0152,click
E0153,login
E0154,view
E0155,purchase
E0156,upload
E0157,search
E0158,search
E0159,view
E0160,view
E0161,purchase
E0162,comment
E0163,click
E0164,search
E0165,click
E0166,search
E0167,click
E0168,click
E0169,click
E0170,view
E0171,search
E0172,search
E0173,click
E0174,view
E0175,view
E0176,purchase
E0177,search
E0178,view
E0179,logout
E0180,purchase
E0181,comment
E0182,view
E0183,click
E0184,login
E0185,share
E0186,refund
E0187,purchase
E0188,search
E0189,view
E0190,login
E0191,view
E0192,login
E0193,view
E0194,login
E0195,view
E0196,search
E0197,click
E0198,purchase
E0199,login
E0200,click
E0201,search
E0202,click
E0203,comment
E0204,view
E0205,comment
E0206,view
E0207,login
E0208,share
E0209,click
E0210,download
E0211,view
E0212,search
E0213,purchase
E0214,click
E0215,share
E0216,click
E0217,comment
E0218,search
E0219,click
E0220,view
E0221,click
E0222,view
E0223,view
E0224,login
E0225,view
E0226,search
E0227,search
E0228,purchase
E0229,comment
E0230,comment
E0231,purchase
E0232,login
E0233,view
E0234,purchase
E0235,view
E0236,comment
E0237,view
E0238,login
E0239,purchase
E0240,login
E0241,search
E0242,login
E0243,click
E0244,click
E0245,view
E0246,comment
E0247,view
E0248,logout
E0249,search
E0250,share
E0251,comment
E0252,view
E0253,click
E0254,download
E0255,view
E0256,view
E0257,login
E0258,search
E0259,view
E0260,click
E0261,click
E0262,refund
E0263,view
E0264,upload
E0265,login
E0266,upload
E0267,view
E0268,view
E0269,click
E0270,login
E0271,click
E0272,purchase
E0273,share
E0274,view
E0275,logout
E0276,click
E0277,search
E0278,click
E0279,share
E0280,login
E0281,click
E0282,login
E0283,click
E0284,login
E0285,search
E0286,click
E0287,login
E0288,view
E0289,login
E0290,view
E0291,view
E0292,logout
E0293,view
E0294,invite
E0295,purchase
E0296,view
E0297,logout
E0298,view
E0299,click
E0300,purchase
E0301,view
E0302,search
E0303,share
E0304,view
E0305,search
E0306,click
E0307,view
E0308,login
E0309,view
E0310,view
E0311,view
E0312,view
E0313,click
E0314,view
E0315,view
E0316,click
E0317,login
E0318,search
E0319,view
E0320,view
E0321,click
E0322,view
E0323,upload
E0324,purchase
E0325,share
E0326,click
E0327,view
E0328,comment
E0329,refund
E0330,login
E0331,comment
E0332,view
E0333,view
E0334,click
E0335,comment
E0336,upload
E0337,click
E0338,view
E0339,view
E0340,click
E0341,click
E0342,view
E0343,click
E0344,purchase
E0345,click
E0346,login
E0347,invite
E0348,comment
E0349,view
E0350,click
E0351,comment
E0352,click
E0353,comment
E0354,view
E0355,click
E0356,search
E0357,click
E0358,search
E0359,search
E0360,view
E0361,click
E0362,logout
E0363,search
E0364,purchase
E0365,view
E0366,search
E0367,view
E0368,view
E0369,login
E0370,login
E0371,comment
E0372,click
E0373,search
E0374,click
E0375,view
E0376,view
E0377,view
E0378,click
E0379,share
E0380,click
E0381,view
E0382,invite
E0383,refund
E0384,view
E0385,upload
E0386,click
E0387,view
E0388,click
E0389,click
E0390,search
E0391,comment
E0392,view
E0393,click
E0394,purchase
E0395,purchase
E0396,share
E0397,search
E0398,share
E0399,comment
E0400,share
E0401,login
E0402,click
E0403,click
E0404,click
E0405,click
E0406,search
E0407,refund
E0408,view
E0409,login
E0410,click
E0411,download
E0412,click
E0413,click
E0414,click
E0415,view
E0416,view
E0417,search
E0418,view
E0419,search
E0420,share
E0421,click
E0422,comment
E0423,click
E0424,search
E0425,view
E0426,login
E0427,search
E0428,search
E0429,login
E0430,click
E0431,login
E0432,click
E0433,search
E0434,purchase
E0435,purchase
E0436,click
E0437,click
E0438,view
E0439,search
E0440,click
E0441,logout
E0442,logout
E0443,view
E0444,view
E0445,login
E0446,login
E0447,login
E0448,purchase
E0449,view
E0450,login
E0451,click
E0452,login
E0453,view
E0454,view
E0455,comment
E0456,click
E0457,click
E0458,click
E0459,view
E0460,click
E0461,share
E0462,view
E0463,logout
E0464,search
E0465,view
E0466,share
E0467,search
E0468,view
E0469,comment
E0470,purchase
E0471,search
E0472,view
E0473,purchase
E0474,search
E0475,view
E0476,login
E0477,view
E0478,search
E0479,login
E0480,login
E0481,share
E0482,comment
E0483,share
E0484,view
E0485,view
E0486,click
E0487,logout
E0488,purchase
E0489,search
E0490,share
E0491,refund
E0492,view
E0493,view
E0494,refund
E0495,share
E0496,click
E0497,view
E0498,view
E0499,comment
E0500,click
E0501,share
E0502,click
E0503,search
E0504,click
E0505,login
E0506,search
E0507,view
E0508,view
E0509,search
E0510,logout
E0511,search
E0512,view
E0513,click
E0514,login
E0515,click
E0516,login
E0517,search
E0518,click
E0519,search
E0520,view
E0521,share
E0522,view
