obs_id,x,y
P0000,50.463,49.148
P0001,30.221,24.949
P0002,48.645,34.134
P0003,65.583,55.177
P0004,92.689,74.064
P0005,87.210,75.822
P0006,76.251,56.429
P0007,70.047,68.787
P0008,26.432,23.208
P0009,62.228,51.577
P0010,59.086,54.802
P0011,82.088,65.149
P0012,32.088,35.379
P0013,89.481,68.797
P0014,35.865,33.726
P0015,6.678,7.884
P0016,38.039,32.357
P0017,86.416,82.217
P0018,89.076,81.601
P0019,27.457,30.186
P0020,95.482,85.001
P0021,78.349,69.577
P0022,21.378,22.233
P0023,4.134,-2.051
P0024,41.255,37.331
P0025,96.187,83.617
P0026,6.906,-3.393
P0027,23.958,29.753
P0028,0.723,10.549
P0029,52.760,52.160
P0030,97.630,98.398
P0031,39.906,33.830
P0032,85.664,76.241
P0033,25.206,26.162
P0034,19.002,17.825
P0035,85.099,80.118
P0036,96.401,92.386
P0037,40.060,40.433
P0038,65.109,48.384
P0039,78.380,62.976
P0040,38.225,41.612
P0041,40.423,31.437
P0042,79.459,67.723
P0043,27.894,18.749
P0044,42.592,37.370
P0045,53.815,51.914
P0046,57.399,57.842
P0047,38.204,38.067
P0048,76.022,78.412
P0049,84.200,77.309
P0050,57.296,53.524
P0051,20.735,17.191
P0052,53.356,43.266
P0053,83.487,81.545
P0054,52.331,56.520
P0055,79.658,73.060
P0056,32.587,22.983
P0057,60.370,54.514
P0058,83.133,77.609
P0059,92.598,81.007
P0060,76.163,58.614
P0061,1.214,7.584
P0062,96.824,85.880
P0063,79.105,72.109
P0064,70.514,64.014
P0065,92.214,88.274
P0066,21.681,29.403
P0067,19.691,23.261
P0068,98.044,92.492
P0069,45.425,35.336
P0070,81.353,71.805
P0071,39.030,39.419
P0072,38.599,42.661
P0073,52.362,36.565
P0074,43.783,43.134
P0075,4.136,17.560
P0076,43.598,44.537
P0077,33.822,32.552
P0078,36.213,30.730
P0079,39.762,36.925
P0080,91.392,76.298
P0081,75.106,67.427
P0082,99.153,76.108
P0083,58.602,57.481
P0084,49.309,49.036
P0085,21.615,24.536
P0086,17.656,6.170
P0087,57.279,54.347
P0088,17.568,13.077
P0089,90.566,86.715
P0090,93.894,82.064
P0091,56.769,48.654
P0092,52.452,42.310
P0093,69.933,79.611
P0094,86.296,76.818
P0095,52.739,52.091
P0096,59.442,52.641
P0097,23.350,20.782
P0098,19.914,17.784
P0099,64.057,58.100
P0100,31.435,19.887
P0101,67.502,73.849
P0102,86.187,80.341
P0103,39.963,26.965
P0104,24.187,30.951
P0105,81.326,68.405
P0106,18.931,14.644
P0107,14.243,29.179
P0108,89.895,78.764
P0109,69.651,74.930
P0110,80.052,74.060
P0111,18.647,12.617
P0112,11.276,16.852
P0113,80.505,85.270
P0114,6.415,6.349
P0115,14.329,18.922
P0116,54.501,67.667
P0117,99.681,89.102
P0118,0.643,-4.139
P0119,1.070,16.221
P0120,42.227,41.694
P0121,94.677,71.205
P0122,97.002,78.005
P0123,31.288,32.334
P0124,97.274,91.378
P0125,84.543,71.283
P0126,72.714,63.005
P0127,7.897,8.832
P0128,39.633,42.925
P0129,15.169,14.335
P0130,32.693,35.248
P0131,23.681,11.829
P0132,66.274,58.431
P0133,80.566,74.315
P0134,18.525,12.859
P0135,76.225,61.386
P0136,99.899,83.210
P0137,28.717,27.609
P0138,2.732,4.616
P0139,44.075,44.634
P0140,45.446,38.947
P0141,73.485,69.449
P0142,92.398,80.838
P0143,80.184,74.337
P0144,33.123,26.663
P0145,38.650,29.433
P0146,23.034,25.046
P0147,38.400,31.581
P0148,61.105,62.320
P0149,34.066,28.348
P0150,72.626,66.672
P0151,45.231,39.152
P0152,39.764,32.730
P0153,94.652,79.357
P0154,47.486,53.287
P0155,79.569,67.022
P0156,3.636,7.601
P0157,11.076,14.035
P0158,9.444,3.747
P0159,62.968,59.695
P0160,51.713,52.262
P0161,28.130,19.320
P0162,26.280,18.720
P0163,69.874,74.441
P0164,64.382,53.816
P0165,31.131,28.132
P0166,70.115,64.701
P0167,87.322,70.054
P0168,65.913,52.923
P0169,35.290,25.282
P0170,21.110,25.178
P0171,12.524,16.040
P0172,5.523,14.881
P0173,49.423,43.084
P0174,77.336,73.805
P0175,52.230,48.079
P0176,94.399,81.873
P0177,68.546,60.038
P0178,33.488,33.470
P0179,74.418,75.883
P0180,57.798,50.237
P0181,19.171,15.765
P0182,62.137,56.468
P0183,37.309,38.015
P0184,26.795,24.449
P0185,24.360,14.886
P0186,91.256,81.859
P0187,99.603,80.823
P0188,51.355,47.702
P0189,96.604,92.543
P0190,46.252,43.047
P0191,7.960,11.719
P0192,39.165,47.423
P0193,5.230,5.050
P0194,40.455,32.270
P0195,39.580,27.369
P0196,54.276,41.437
P0197,98.941,86.846
P0198,54.274,53.976
P0199,87.603,71.017
P0200,33.402,25.427
P0201,44.846,39.261
P0202,61.573,56.521
P0203,92.665,88.485
P0204,6.257,19.142
P0205,82.345,78.352
P0206,52.103,52.834
P0207,92.336,76.178
P0208,25.520,22.109
P0209,86.842,74.341
P0210,49.417,40.021
P0211,66.664,57.451
P0212,77.189,72.865
P0213,17.892,10.766
P0214,14.275,16.002
P0215,3.798,-1.201
P0216,52.322,51.749
P0217,95.270,87.641
P0218,73.446,68.929
P0219,46.336,49.319
P0220,75.225,55.762
P0221,12.820,7.273
P0222,58.411,42.724
P0223,31.620,25.160
P0224,39.657,33.459
P0225,36.412,41.974
P0226,84.115,81.085
P0227,93.841,82.686
P0228,79.086,62.937
P0229,96.114,67.677
P0230,8.220,2.518
P0231,10.720,16.009
P0232,74.053,75.670
P0233,21.871,20.075
P0234,43.139,46.864
