day_index,value
0,49.6311
1,52.8683
2,53.6224
3,52.1941
4,53.9781
5,49.3070
6,49.9330
7,51.8859
8,53.0430
9,53.2276
10,53.2639
11,50.9335
12,48.7756
13,47.0624
14,49.1360
15,50.7162
16,52.2130
17,50.4136
18,48.5541
19,46.8330
20,46.0096
21,48.8664
22,51.5554
23,51.0326
24,49.4248
25,48.9009
26,47.0846
27,46.3983
28,51.4302
29,52.2320
30,53.3760
31,54.1191
32,53.5508
33,51.5356
34,52.4194
35,51.4205
36,51.2226
37,53.2879
38,52.8054
39,52.6535
40,47.6406
41,47.7636
42,51.9762
43,52.3563
44,52.8839
45,54.3887
46,50.7465
47,45.3061
48,47.8040
49,53.3763
50,52.9079
51,53.3961
52,54.1909
53,50.5637
54,43.0967
55,41.9748
56,44.1126
57,50.5851
58,54.8569
59,51.8786
60,51.2827
61,48.8998
62,46.4398
63,50.9422
64,52.9307
65,53.5389
66,52.9638
67,54.3514
68,48.8457
69,49.7090
70,52.3315
71,51.7625
72,52.0698
73,48.6167
74,47.2254
75,45.0462
76,45.7988
77,49.9051
78,52.7066
79,53.2124
80,54.4631
81,54.1284
82,50.2479
83,53.3403
84,53.8155
85,53.8631
86,55.0141
87,54.3363
88,54.4084
89,50.3029
90,48.3661
91,50.9955
92,53.4739
93,55.5050
94,54.9603
95,54.8032
96,51.2977
97,49.8845
98,54.0038
99,56.1960
100,55.2487
101,55.5095
102,50.9825
103,49.1608
104,45.8051
105,51.2267
106,54.2728
107,57.3250
108,55.4409
109,51.6957
110,48.5679
111,49.0195
112,52.4748
113,55.3091
114,56.1861
115,54.8296
116,52.9189
117,48.6187
118,48.7402
119,53.7151
120,52.2842
121,54.7649
122,55.2442
123,53.3740
124,55.3236
125,52.3565
126,54.2190
127,56.2316
128,57.2619
129,56.9504
130,54.8947
131,52.1384
132,50.7889
133,49.9175
134,53.5172
135,53.7001
136,53.4710
137,52.5986
138,49.2894
139,47.1051
140,51.7871
141,50.9088
142,54.3987
143,55.1127
144,55.2690
145,51.3458
146,53.2597
147,55.2730
148,56.0968
149,56.0194
150,56.1404
151,53.8954
152,52.0504
153,49.1948
154,52.8403
155,55.2003
156,56.6620
157,58.3028
158,57.0508
159,53.2444
160,48.9508
161,50.0649
162,51.9807
163,54.3427
164,51.4100
165,50.2227
166,52.2033
167,50.2383
168,54.7472
169,57.7694
170,57.4026
171,58.6464
172,57.7225
173,53.2876
174,53.4992
175,57.8971
176,56.3032
177,57.3750
178,55.9179
179,56.3334
180,51.9455
181,50.7521
182,52.9386
183,53.3522
184,59.0265
185,59.5754
186,55.6764
187,51.2752
188,50.4019
189,52.0494
190,54.0265
191,55.9188
192,56.2197
193,57.2673
194,52.6449
195,52.6742
196,52.9992
197,55.3782
198,57.9489
199,55.0716
200,57.9939
201,54.1566
202,53.2902
203,55.7682
204,54.7581
205,55.8403
206,55.6476
207,53.6237
208,51.9263
209,52.0466
210,53.9836
211,55.1607
212,58.1493
213,57.3543
214,51.6323
215,50.1093
216,50.3292
217,54.1924
218,56.6514
219,57.1038
220,54.1365
221,52.3912
222,51.6911
223,52.5532
224,56.7097
225,54.8072
226,58.3469
227,56.1940
228,55.2195
229,51.4884
230,48.6189
231,54.6867
232,56.0607
233,55.4498
234,53.8156
