row_id,a,b,c,d
N0000,0.33276,-1.13105,-1.68404,1.29033
N0001,0.56310,0.21525,-2.59738,1.34906
N0002,-0.19765,-1.70247,-1.61509,1.25232
N0003,2.62252,2.88943,-0.98396,0.34673
N0004,0.24499,-0.01300,0.43541,0.94987
N0005,-0.72387,-0.00428,1.89215,-2.00027
N0006,-0.23936,-0.26402,1.74269,-0.96619
N0007,-2.85370,-1.48569,1.59970,-0.87115
N0008,-0.13854,0.03392,0.27509,0.42700
N0009,0.51095,0.58182,0.42834,0.35596
N0010,-0.98758,0.54888,0.68435,-0.56034
N0011,-0.25141,-0.05697,0.04992,0.85548
N0012,-0.92628,-0.32492,0.72281,-0.36449
N0013,2.13295,2.51907,-1.19589,0.07322
N0014,1.72707,0.70704,-0.95230,0.00650
N0015,0.13367,0.39300,0.68162,-0.22980
N0016,0.24863,0.85858,-0.85689,-0.85253
N0017,-0.65952,-1.83350,-0.75991,0.87695
N0018,0.11766,0.33134,1.11023,-0.27169
N0019,2.21793,1.08084,-1.83088,-0.02585
N0020,0.11861,1.11569,0.76167,-1.73208
N0021,0.22749,0.07437,-0.83195,-0.75522
N0022,-0.32449,0.30390,0.86935,-0.28643
N0023,0.57115,0.91797,-0.24085,-0.16861
N0024,0.16356,0.51224,-0.65865,0.03141
N0025,1.07458,1.07529,-1.35504,-0.16475
N0026,-1.23350,-0.59661,-0.77347,-0.29678
N0027,-0.22325,0.37899,0.03935,-0.41526
N0028,-1.19427,-1.01873,0.50440,-0.13217
N0029,1.60178,0.72260,-0.43429,0.93954
N0030,-0.43698,-0.19612,1.09469,-1.42539
N0031,1.44483,1.04586,0.89879,-0.78240
N0032,1.04345,1.39835,0.38788,-0.94181
N0033,-0.88138,0.48450,1.17898,-1.64206
N0034,-0.32935,1.00582,1.39614,-1.92334
N0035,0.41132,0.11192,-1.27711,0.49755
N0036,-0.27545,-0.71801,-0.58668,0.56799
N0037,-0.63795,0.02244,1.24775,-1.46482
N0038,-0.18970,0.16465,0.48378,0.76212
N0039,-1.82827,-1.52835,1.01827,-0.74525
N0040,0.02742,1.04298,1.43959,-0.32983
N0041,0.71689,0.67389,-0.33956,0.15334
N0042,1.51216,0.08772,-1.42317,0.16939
N0043,-0.74335,-0.35782,1.41201,-0.55274
N0044,-1.88052,-1.80164,2.18803,-1.54972
N0045,2.14857,1.99536,-0.58183,-0.39404
N0046,0.69634,0.28681,-2.30421,1.58705
N0047,-2.56771,-1.37618,1.34134,-0.94370
N0048,-0.57239,-1.56554,-0.17982,0.77892
N0049,0.06022,0.50390,1.58704,-0.67479
N0050,-0.14944,-1.44126,0.35936,0.10913
N0051,1.40322,1.37811,-0.24233,-0.13473
N0052,-0.13990,-0.07979,0.38109,-0.57936
N0053,-0.67222,-1.62371,-0.01385,-0.14579
N0054,-0.06452,0.18737,-0.12068,0.25157
N0055,1.52241,0.99594,-0.71341,0.12252
N0056,1.69642,1.72157,-0.26055,-0.89655
N0057,0.43369,0.35296,-0.63169,1.58185
N0058,1.25234,0.89246,-0.59295,0.28204
N0059,-0.83699,-0.30232,0.64256,-0.89067
N0060,-0.70018,-0.85260,0.57626,-0.14830
N0061,0.48370,0.06175,0.09009,0.42213
N0062,0.13365,-0.11537,-0.96070,0.02029
N0063,1.48480,0.29437,-1.76673,2.42473
N0064,-0.03690,-1.10550,-1.49958,1.06141
N0065,0.11479,-0.82902,-0.03125,0.64918
N0066,1.04647,0.35064,-1.91519,1.45261
