row_id,x,y,z
R0000,11.2239,8.4113,5.9266
R0001,10.5242,9.4574,16.8282
R0002,10.0067,8.1973,18.9887
R0003,13.0353,8.7109,11.7066
R0004,11.9479,8.6401,16.7879
R0005,9.6694,,1.3767
R0006,9.0337,7.6985,18.7501
R0007,,8.6162,9.2931
R0008,9.3029,6.2575,1.0087
R0009,13.6239,10.0950,19.6074
R0010,12.2299,11.3144,9.9943
R0011,9.1474,7.9866,14.3886
R0012,12.4947,7.7244,6.6937
R0013,12.3362,8.4375,19.0804
R0014,8.2824,7.8063,15.6543
R0015,7.7914,7.5092,14.3815
R0016,5.2048,5.3513,10.4309
R0017,5.6212,5.9757,7.4774
R0018,8.4892,,12.1436
R0019,12.8122,8.9937,6.5124
R0020,8.0062,7.4302,5.9927
R0021,9.5574,,13.5409
R0022,,8.9082,19.7733
R0023,7.8875,6.2782,14.0443
R0024,6.3666,6.1984,4.6465
R0025,11.0813,9.4442,17.9815
R0026,13.9201,11.9930,6.7255
R0027,8.9504,5.4482,
R0028,,5.8915,15.4369
R0029,10.1650,8.8095,3.8948
R0030,7.9570,,14.2971
R0031,11.0590,8.7888,2.3246
R0032,12.4181,10.2263,5.0458
R0033,8.8472,7.8227,15.2246
R0034,7.0416,,12.6047
R0035,9.7386,7.7450,4.6800
R0036,8.2033,5.5468,15.1720
R0037,8.2714,6.9210,11.7963
R0038,8.0984,6.1293,2.6268
R0039,,9.5397,16.3474
R0040,11.8402,9.0003,8.8001
R0041,9.3284,6.4943,5.2098
R0042,7.2674,5.1831,3.5692
R0043,9.1568,5.7094,17.9332
R0044,5.5257,6.3677,10.0360
R0045,9.1422,8.6793,13.3250
R0046,9.3811,7.4927,13.8542
R0047,12.6799,9.6892,4.6005
R0048,12.9649,8.1068,10.9571
R0049,9.4042,6.6662,15.2047
R0050,7.9832,6.3383,11.2608
R0051,8.9400,7.1877,12.6891
R0052,,7.1851,10.3176
R0053,11.9816,9.0471,15.6592
R0054,12.5297,8.0627,19.4628
R0055,10.0572,9.4475,13.1548
R0056,11.0738,9.8026,17.1789
R0057,12.5059,10.5087,4.1707
R0058,6.1879,,11.4468
R0059,9.7515,7.4532,0.2859
R0060,9.8645,5.3782,19.4986
R0061,8.0459,6.9524,6.9892
R0062,8.0195,5.0825,10.8594
R0063,8.8608,6.9310,16.0104
R0064,7.9351,7.4732,17.0973
R0065,7.8902,7.7994,18.8260
R0066,9.3403,9.5179,4.9785
R0067,11.7717,9.1360,13.1640
R0068,8.4243,6.4333,17.7878
R0069,14.1941,9.3269,6.0378
R0070,8.3220,7.0847,10.8985
R0071,10.7221,7.1873,14.4215
R0072,,8.3619,14.2838
R0073,8.3435,9.5210,0.9958
R0074,9.6923,7.6302,18.7655
R0075,10.3530,10.1437,16.3584
R0076,11.7296,9.4645,1.9011
R0077,13.1713,8.1977,6.3143
R0078,,7.2710,16.6900
R0079,7.6551,6.6982,3.6444
R0080,7.9373,7.6587,18.4510
R0081,11.2417,9.6598,3.2058
R0082,11.8972,8.7763,2.3407
R0083,9.4144,,9.5790
R0084,7.7619,4.6461,1.8411
R0085,10.3091,6.0841,11.3390
R0086,,8.0130,13.7831
R0087,9.8224,,
R0088,9.5872,6.6618,8.7131
R0089,13.0410,8.7900,10.4048
R0090,10.2832,8.9339,11.8905
R0091,7.6509,8.6664,8.7972
R0092,11.0035,,15.4395
R0093,12.0492,7.3462,14.4450
R0094,9.7072,8.3118,1.2589
R0095,10.1753,9.0146,6.1963
R0096,10.6356,7.0184,6.2171
R0097,11.3747,9.6513,3.4298
R0098,,6.8762,2.2820
R0099,8.4888,6.4602,0.5817
R0100,7.8535,8.3319,4.6437
R0101,11.1256,8.4287,18.0065
R0102,10.6454,,11.7658
R0103,9.8145,8.3875,6.4524
R0104,11.0636,7.4908,15.3843
R0105,10.4686,7.0631,6.4767
R0106,8.2317,7.3104,3.6250
R0107,10.5043,9.0556,8.0522
R0108,12.0262,,7.9408
R0109,,6.7700,10.9639
R0110,8.6493,5.2103,2.6023
R0111,14.3790,10.3852,10.4496
R0112,8.3802,5.9080,0.4676
R0113,12.4959,12.5847,0.2877
R0114,11.3744,8.6991,9.5764
R0115,11.2256,9.6005,10.3938
R0116,,8.6258,
R0117,10.4291,,8.0362
R0118,12.2419,11.0094,16.6865
R0119,9.7990,8.7098,10.2495
R0120,10.7521,7.9682,0.8022
R0121,10.6807,8.7571,13.2165
R0122,9.1633,8.7876,11.3805
R0123,8.6816,7.5341,3.2029
R0124,8.1137,7.1899,18.7939
R0125,9.4848,9.7697,16.8771
R0126,8.2488,7.7801,6.6799
R0127,7.6448,6.0814,13.4590
R0128,,6.9083,5.8013
R0129,10.2215,8.8864,18.3730
R0130,8.5392,8.6731,19.7373
R0131,9.3501,5.0181,6.8726
R0132,11.1410,9.1430,9.8560
R0133,,8.3977,16.0700
R0134,8.7036,7.2385,11.0001
R0135,10.5421,7.4130,18.6609
R0136,11.4466,9.8509,10.8357
R0137,12.1727,,10.9290
R0138,5.6617,6.1550,11.2793
R0139,,,
R0140,8.4228,,17.9265
R0141,11.8367,8.2557,17.9793
R0142,7.5085,7.4766,13.3194
R0143,,8.8560,13.1674
R0144,9.7343,,13.0102
R0145,10.6627,,
R0146,5.4005,6.6221,
R0147,9.6978,8.7800,13.5576
R0148,6.6424,8.0944,5.9806
R0149,14.0383,10.1673,0.1023
R0150,9.4371,8.4142,8.6277
R0151,9.0779,7.4927,2.4685
R0152,8.5405,8.1989,19.8743
R0153,9.2413,6.5420,3.9875
R0154,9.5110,7.3985,19.4123
R0155,6.0949,4.8873,3.3083
R0156,11.0028,9.0964,14.7655
R0157,11.6172,8.5600,16.9081
R0158,,7.2381,17.8825
R0159,9.6636,7.9710,2.2185
R0160,10.7059,8.6897,
R0161,,9.0471,0.9524
R0162,10.7966,9.4780,7.0264
R0163,7.6217,8.4469,8.8998
R0164,8.1771,7.4254,5.4061
R0165,8.6789,7.2451,1.4412
R0166,6.7087,6.5587,11.8903
R0167,10.8211,8.8328,2.9858
R0168,11.3184,9.7832,7.0856
R0169,13.5957,8.4700,12.9102
R0170,14.5021,9.3420,1.7542
R0171,12.4827,9.7412,7.7872
R0172,15.5122,11.0299,16.9898
R0173,13.9944,11.1565,14.9756
R0174,9.7768,7.8069,11.9055
R0175,,7.9874,4.4597
R0176,9.8966,6.8563,7.9198
R0177,10.8740,8.8244,0.7417
R0178,14.0886,9.1934,2.9347
R0179,9.9956,8.9691,7.6356
R0180,8.9474,6.3092,14.4122
R0181,8.1784,7.3181,
R0182,9.3897,8.4495,4.7674
R0183,8.2291,7.4199,15.4216
R0184,13.8482,9.2666,4.6312
R0185,7.2889,6.1209,15.2749
R0186,12.2646,10.5965,16.6328
R0187,11.3696,7.7047,17.3854
R0188,9.2745,6.9625,1.9804
R0189,8.9111,,4.6864
R0190,11.6102,,14.7213
R0191,12.6158,7.7607,19.0412
R0192,8.3953,8.1408,0.2596
R0193,7.9354,5.3176,
R0194,9.3167,7.7950,14.8477
R0195,11.5034,9.1844,16.4680
R0196,6.6849,4.1904,2.8142
R0197,10.6015,9.8305,1.1928
R0198,7.3474,5.8942,15.5402
R0199,13.4100,,
R0200,12.7334,9.7939,19.2705
R0201,6.5759,5.5384,0.9466
R0202,9.8994,7.9165,7.9340
R0203,10.3443,9.7518,7.4038
R0204,11.9983,11.2618,10.6842
R0205,10.5116,7.6489,13.4340
R0206,10.1102,6.8570,6.3356
R0207,9.9749,8.9814,1.9101
R0208,15.3520,10.5365,
R0209,9.1005,8.5169,13.2892
R0210,10.7823,8.9270,4.1165
R0211,12.9212,9.3961,10.8691
R0212,11.0771,,10.6831
