unit_id,machine,yield_pct
U0000,alpha,73.906
U0001,alpha,73.028
U0002,alpha,73.455
U0003,alpha,68.671
U0004,alpha,68.085
U0005,alpha,73.631
U0006,alpha,83.807
U0007,alpha,75.684
U0008,alpha,68.185
U0009,alpha,67.712
U0010,alpha,71.575
U0011,alpha,72.657
U0012,alpha,67.608
U0013,alpha,75.951
U0014,alpha,68.948
U0015,alpha,72.086
U0016,alpha,75.262
U0017,alpha,71.760
U0018,alpha,73.765
U0019,alpha,66.161
U0020,alpha,71.765
U0021,alpha,79.258
U0022,alpha,71.128
U0023,alpha,74.800
U0024,alpha,76.689
U0025,alpha,70.521
U0026,alpha,75.027
U0027,alpha,73.017
U0028,alpha,69.722
U0029,alpha,71.122
U0030,alpha,73.940
U0031,alpha,74.248
U0032,alpha,72.948
U0033,alpha,71.699
U0034,alpha,81.945
U0035,alpha,67.376
U0036,alpha,71.322
U0037,alpha,72.585
U0038,alpha,72.002
U0039,alpha,71.688
U0040,alpha,73.140
U0041,alpha,73.273
U0042,alpha,73.731
U0043,alpha,69.828
U0044,alpha,74.529
U0045,alpha,72.896
U0046,alpha,69.776
U0047,alpha,73.306
U0048,alpha,74.200
U0049,alpha,73.668
U0050,alpha,67.827
U0051,alpha,69.255
U0052,alpha,76.245
U0053,alpha,71.243
U0054,alpha,69.209
U0055,alpha,73.068
U0056,alpha,74.647
U0057,alpha,72.699
U0058,alpha,72.618
U0059,alpha,66.675
U0060,alpha,72.889
U0061,alpha,75.011
U0062,alpha,68.536
U0063,alpha,71.393
U0064,alpha,69.414
U0065,alpha,73.171
U0066,alpha,69.814
U0067,alpha,71.123
U0068,alpha,74.422
U0069,alpha,71.358
U0070,alpha,72.551
U0071,alpha,77.280
U0072,alpha,72.907
U0073,alpha,74.464
U0074,alpha,69.732
U0075,alpha,76.142
U0076,alpha,72.235
U0077,alpha,74.456
U0078,alpha,72.190
U0079,alpha,72.474
U0080,alpha,69.477
U0081,alpha,72.398
U0082,alpha,72.740
U0083,alpha,69.131
U0084,alpha,67.745
U0085,alpha,68.947
U0086,alpha,77.878
U0087,alpha,72.473
U0088,alpha,73.869
U0089,alpha,74.773
U0090,alpha,70.430
U0091,alpha,72.033
U0092,alpha,73.779
U0093,alpha,74.797
U0094,alpha,70.682
U0095,alpha,66.805
U0096,alpha,76.909
U0097,alpha,80.302
U0098,alpha,71.397
U0099,alpha,79.063
U0100,alpha,75.110
U0101,alpha,72.889
U0102,alpha,76.632
U0103,alpha,69.183
U0104,alpha,65.439
U0105,alpha,70.553
U0106,alpha,66.783
U0107,alpha,71.124
U0108,alpha,73.689
U0109,alpha,69.987
U0110,alpha,77.380
U0111,alpha,73.947
U0112,alpha,75.122
U0113,alpha,71.965
U0114,alpha,74.821
U0115,alpha,71.191
U0116,alpha,77.636
U0117,alpha,75.725
U0118,alpha,70.917
U0119,alpha,69.509
U0120,alpha,69.376
U0121,alpha,75.766
U0122,alpha,68.001
U0123,alpha,74.456
U0124,alpha,69.178
U0125,alpha,69.716
U0126,alpha,67.318
U0127,alpha,69.538
U0128,alpha,73.619
U0129,alpha,73.055
U0130,alpha,72.082
U0131,alpha,68.618
U0132,alpha,72.767
U0133,alpha,67.593
U0134,alpha,72.566
U0135,alpha,73.348
U0136,alpha,76.331
U0137,alpha,79.310
U0138,alpha,74.842
U0139,alpha,69.918
U0140,beta,69.322
U0141,beta,75.562
U0142,beta,71.816
U0143,beta,70.463
U0144,beta,75.258
U0145,beta,76.922
U0146,beta,73.143
U0147,beta,72.047
U0148,beta,74.857
U0149,beta,73.021
U0150,beta,70.136
U0151,beta,77.182
U0152,beta,73.581
U0153,beta,82.139
U0154,beta,79.753
U0155,beta,78.967
U0156,beta,69.745
U0157,beta,73.071
U0158,beta,70.887
U0159,beta,68.809
U0160,beta,74.559
U0161,beta,76.120
U0162,beta,74.203
U0163,beta,74.169
U0164,beta,70.457
U0165,beta,66.492
U0166,beta,75.271
