row_id,m1,m2,m3,m4
V0000,-0.34402,-0.10883,1.31838,-0.60431
V0001,-2.10648,-1.68798,-0.72386,0.39381
V0002,1.13888,0.69800,0.55767,0.18596
V0003,-1.07021,-0.32384,1.41438,-0.72199
V0004,1.15212,-0.22430,-1.07372,0.70056
V0005,1.41913,1.48723,-1.41262,0.81741
V0006,-0.69427,0.50567,0.27576,0.06069
V0007,-0.94168,-0.76294,0.07311,0.28186
V0008,1.16172,0.96042,1.94345,-1.10177
V0009,-0.56773,0.18017,1.12211,-0.61393
V0010,0.89115,1.40665,-1.18793,1.33090
V0011,1.36409,1.65475,-0.25536,-0.25444
V0012,-1.00449,-0.67023,0.32424,0.42334
V0013,-0.70289,-0.29757,-0.71344,0.23202
V0014,0.80826,0.62997,-0.09141,0.13670
V0015,0.87649,-0.16642,-0.49271,0.28397
V0016,1.87124,1.33039,1.04138,-0.47318
V0017,0.60294,0.48587,0.77796,-2.48940
V0018,1.90128,1.25132,0.04919,-0.33275
V0019,-0.19771,0.47562,0.68974,-0.29374
V0020,-1.10338,-1.12179,-0.15336,0.16656
V0021,0.53004,1.06628,0.83446,-0.33562
V0022,-0.30372,-0.43084,1.46568,-0.82018
V0023,0.68537,0.42914,1.24713,0.75207
V0024,-0.77065,-0.16543,0.77541,0.44210
V0025,0.10424,-0.24254,0.18279,0.36518
V0026,0.44200,-0.35380,-0.71307,0.85631
V0027,0.04786,0.51678,-0.41827,0.25543
V0028,0.78026,0.78408,0.05629,1.10582
V0029,1.34213,0.34731,-2.17339,-0.60981
V0030,0.29807,0.38168,-1.39369,2.52143
V0031,-1.05803,-0.43613,-0.21345,-1.32583
V0032,0.27900,0.22053,-1.59114,0.58953
V0033,-0.24527,-0.72709,-1.90661,1.79467
V0034,1.51780,1.15546,0.35895,-0.02302
V0035,1.51259,1.32440,-1.45111,0.62131
V0036,0.81975,0.00623,0.55337,-0.26112
V0037,0.27280,0.21076,-1.05101,0.24487
V0038,0.40189,0.50744,0.67223,-1.76860
V0039,0.09164,0.29572,-1.93666,2.73756
V0040,-0.58165,-0.72254,0.85811,-0.52167
V0041,-0.60914,-0.33955,0.46298,0.62463
V0042,-0.59725,-0.18447,0.79788,-0.70620
V0043,0.50826,0.21849,0.16969,0.25724
V0044,0.37184,0.06136,-0.45174,-0.73730
V0045,-0.16716,-0.31453,-0.40648,0.44308
V0046,-0.46843,-0.28737,1.68069,-1.24005
V0047,0.01412,-0.66697,0.65039,-0.02013
V0048,0.11532,0.11945,0.53280,-0.44481
V0049,0.30450,0.48928,-0.44839,1.34908
V0050,0.77645,0.12225,0.08480,1.14457
V0051,-0.62975,-0.49878,0.86762,-0.76413
V0052,2.14743,2.41222,0.89098,-0.03421
V0053,0.93048,0.40194,0.53059,-0.57572
V0054,-0.72067,-1.30867,2.03328,-2.67643
V0055,-1.23506,-1.44758,-0.17817,0.44187
V0056,-0.41974,0.01995,1.38208,-0.37941
V0057,-0.47153,-0.60281,0.36177,-0.99102
V0058,-1.07374,-1.35771,-0.64631,-0.13711
V0059,0.19190,0.15138,-0.05991,-0.08653
V0060,-0.32303,-1.21636,-1.11123,0.74616
V0061,-0.93013,-0.66111,-1.43748,1.40277
V0062,0.71987,0.16567,0.56405,-0.30883
V0063,0.18438,-0.18835,0.44487,-0.75420
V0064,0.93110,0.88129,-1.86649,0.92772
V0065,-1.45343,-0.86698,0.14222,0.52142
V0066,-0.62543,0.23344,0.45414,-0.66293
V0067,-0.30362,0.27407,-0.47107,-1.07120
V0068,1.55295,1.76414,-0.65140,0.69723
V0069,-0.85736,-0.15321,0.60153,-0.28179
V0070,2.01305,1.99944,-0.43115,0.66516
V0071,-0.49296,-0.29084,-0.05986,0.36039
V0072,-0.39290,-0.46973,0.34516,-0.52760
V0073,-0.31074,-0.59790,-0.04898,0.49548
V0074,0.21371,-0.98302,0.83656,-0.73165
V0075,-0.19710,-0.07366,-0.31633,1.00372
V0076,0.93733,0.91952,-0.17902,-0.12932
V0077,-2.40759,-1.42266,-0.72951,-0.08071
V0078,-0.51359,-0.27213,-0.53886,-0.88387
V0079,-0.11411,1.06576,-1.24580,0.39916
V0080,-1.28281,-1.20154,-0.57169,0.71795
V0081,-0.46093,-1.04328,0.72524,-0.40090
V0082,-0.39477,-0.63224,-1.11897,1.05053
V0083,-1.02784,-2.20741,0.39756,0.07270
V0084,0.01361,-0.02562,-1.39402,0.80366
V0085,-1.12095,-0.87904,-0.94527,0.39284
V0086,0.85428,0.65302,0.67409,-0.32445
V0087,1.28341,0.14736,0.51283,-0.58936
V0088,0.47171,0.44951,-0.10091,-1.38454
V0089,1.93318,0.69496,1.44206,-1.30808
V0090,1.83538,0.85091,-0.63418,0.13422
V0091,0.00927,0.13209,-1.03271,1.03727
V0092,0.41947,0.94635,0.35117,-0.92154
V0093,-1.33755,-1.45485,-0.21002,-0.72123
V0094,-1.23955,-1.17224,-0.95228,1.01792
V0095,1.39220,1.74537,0.67195,-1.26710
V0096,0.76201,0.49350,-1.16463,0.20159
V0097,0.93448,0.72753,-1.75215,2.30261
V0098,0.02993,-0.43377,-0.00715,-0.14333
V0099,0.49152,-0.28768,0.34095,-0.59663
V0100,-0.51138,-1.27982,-0.24733,0.61690
V0101,-0.55666,-0.84736,1.77398,-0.81966
V0102,-0.31601,0.48465,0.39088,0.08250
