point_id,px,py
K0000,1.2417,-0.4880
K0001,2.0855,2.2920
K0002,2.0722,2.1203
K0003,-0.6024,4.5151
K0004,1.3665,-2.5436
K0005,1.1145,2.4087
K0006,-4.2756,5.5280
K0007,-2.0390,-0.7122
K0008,-3.9279,3.9910
K0009,-4.3521,6.3521
K0010,-1.7477,-0.9704
K0011,-0.8883,-1.4797
K0012,-2.7369,2.3135
K0013,-1.5689,0.2915
K0014,4.7077,1.8223
K0015,5.9361,0.9044
K0016,-2.3122,3.6588
K0017,-0.5766,0.9012
K0018,-2.8997,3.7682
K0019,-3.7876,2.1892
K0020,-0.4638,5.9238
K0021,3.6266,3.5811
K0022,-0.5543,4.2610
K0023,-3.5977,3.2250
K0024,-0.0250,5.6394
K0025,2.6558,3.1438
K0026,-3.9100,5.7240
K0027,4.2813,3.4348
K0028,-0.2447,2.8313
K0029,4.7857,2.1184
K0030,5.5114,2.9161
K0031,1.9305,4.1697
K0032,1.8151,0.5479
K0033,-1.0478,0.6144
K0034,-1.4890,0.9245
K0035,1.3574,-2.2740
K0036,-0.1196,0.5639
K0037,6.2478,1.9094
K0038,2.2997,1.8433
K0039,-2.6603,5.9974
K0040,-0.7589,0.3518
K0041,-0.6830,-2.1742
K0042,-0.9585,-2.4019
K0043,0.2544,-2.8069
K0044,0.6852,3.0240
K0045,-2.8036,5.2803
K0046,-5.1177,4.6667
K0047,5.6275,2.4955
K0048,-1.0704,0.6843
K0049,-1.7380,5.1377
K0050,2.3553,2.7206
K0051,1.3901,-2.8138
K0052,0.8082,2.1268
K0053,0.1831,-0.3318
K0054,1.9031,1.9982
K0055,1.6123,1.5716
K0056,4.2530,4.0217
K0057,4.9510,3.1293
K0058,-1.0788,-2.2389
K0059,3.7859,1.3748
K0060,3.2305,2.8917
K0061,3.0056,1.2449
K0062,2.4388,1.7480
K0063,1.0495,-2.1972
K0064,4.2486,3.5683
K0065,-2.4346,3.2443
K0066,-0.5841,4.1308
K0067,-3.0171,3.4951
K0068,2.2893,2.6817
K0069,-3.6612,-3.2541
K0070,3.6763,-0.3072
K0071,3.6969,1.2236
K0072,-3.0480,2.5651
K0073,2.5814,0.8057
K0074,-5.2163,1.5715
K0075,5.0665,3.2550
K0076,-0.7452,-2.1301
K0077,3.2243,3.9181
K0078,6.1318,0.4368
K0079,-0.5572,4.1567
K0080,-2.3974,4.0907
K0081,-2.6480,4.3387
K0082,-3.4038,5.5550
K0083,-1.8657,4.1568
K0084,2.6462,-0.8223
K0085,2.2534,3.2894
K0086,4.5559,1.8829
K0087,2.3560,0.1278
K0088,-0.6617,-0.8060
K0089,-1.4282,3.8751
K0090,3.7241,0.9554
K0091,-3.6504,6.5250
K0092,-1.4415,4.9169
K0093,0.8580,-0.5773
K0094,-3.0202,3.3095
K0095,-1.6726,3.0169
K0096,2.9937,5.5763
K0097,5.2855,4.4490
K0098,-2.0160,-2.4203
K0099,0.9028,-0.0406
K0100,-0.7226,0.6186
K0101,2.6643,1.5174
K0102,1.8319,3.7760
K0103,-5.3927,4.9317
K0104,-1.3003,5.2798
K0105,0.9290,-1.4316
K0106,-1.9630,3.4126
K0107,-3.5638,5.2069
K0108,0.8162,1.9666
K0109,-2.7879,1.7800
K0110,4.2814,0.0176
K0111,2.5260,0.3607
K0112,-2.4164,4.5886
K0113,-1.2990,6.4812
K0114,0.8803,0.5464
K0115,-0.6323,1.6862
K0116,-1.9517,4.7395
K0117,-0.2280,1.6377
K0118,-0.5596,3.4429
K0119,-2.0662,5.4028
K0120,-1.3487,4.6117
K0121,4.7046,2.6361
K0122,-1.6229,3.6516
K0123,1.8940,2.5170
K0124,-0.5673,-1.9025
K0125,1.9147,-0.7143
K0126,-2.3775,2.1011
K0127,-1.9857,6.3404
K0128,0.6373,4.5429
K0129,-1.6093,-0.2409
K0130,-1.6978,2.0561
K0131,-3.2332,3.6843
K0132,-0.1330,1.4773
K0133,-2.0264,3.7457
K0134,1.5910,-0.7824
K0135,3.6118,1.0686
K0136,3.6532,1.4660
K0137,-3.4356,5.8584
K0138,-2.0132,2.3265
K0139,3.0614,-0.8479
K0140,-3.6077,3.1501
K0141,4.3161,-0.1410
K0142,-0.4321,3.9911
K0143,2.9882,2.0131
K0144,-2.1095,4.1517
K0145,-0.4711,-0.0104
K0146,4.6419,3.0039
K0147,2.9561,0.4975
K0148,4.3571,4.1779
K0149,0.0946,6.6795
K0150,-3.5533,1.1286
K0151,4.5121,3.1386
K0152,-0.1270,-0.2988
K0153,0.2086,0.7221
K0154,5.0456,2.5003
K0155,2.0779,2.2342
K0156,3.2572,4.2127
K0157,-2.1395,4.1341
K0158,-1.5492,2.1047
K0159,1.3680,7.5250
K0160,1.8683,-0.3373
K0161,2.1123,2.5966
K0162,-1.6059,1.5462
K0163,1.4731,0.2578
K0164,3.2859,3.0791
K0165,0.3062,-1.0881
K0166,-3.6626,2.9011
K0167,-4.0458,4.2416
K0168,-0.6762,-3.6301
K0169,2.1527,2.8122
K0170,-0.3023,2.3896
K0171,-2.8943,5.7291
K0172,3.0047,2.4165
K0173,4.2385,1.2435
K0174,2.0980,2.7026
K0175,1.2781,2.2759
K0176,1.4860,0.1829
K0177,-3.8387,3.6921
K0178,3.0734,3.8388
K0179,2.7103,2.1006
K0180,-2.1152,3.8170
K0181,-0.7350,4.7402
K0182,-2.0968,5.0966
K0183,3.8772,2.8356
K0184,1.1549,1.6869
K0185,2.9205,0.8560
K0186,-0.1217,3.1576
K0187,0.7827,1.6727
K0188,1.6362,-1.7543
K0189,1.0167,-2.0568
K0190,6.0565,1.3427
K0191,-0.6257,-0.2601
K0192,0.4113,3.8537
K0193,-0.8353,4.4231
K0194,-1.0574,0.4906
K0195,3.5629,2.3394
K0196,-5.5985,3.0838
K0197,-2.7053,5.2278
K0198,5.0836,3.6576
K0199,4.4817,0.1181
K0200,2.5788,1.8609
K0201,-1.1908,-0.4438
K0202,1.2600,-0.3700
K0203,0.4363,-1.1988
K0204,-1.3107,4.6277
K0205,-1.8548,-1.8551
K0206,-1.2232,-0.7896
K0207,-0.3791,3.7290
K0208,2.8214,1.8489
K0209,-2.5021,1.6898
K0210,0.6147,1.8059
K0211,-1.0190,-0.0371
