row_id,x,y
J000,71.1507,53.4715
J001,42.3744,44.1542
J002,49.7373,38.4090
J003,49.9842,45.2870
J004,42.1618,40.0105
J005,50.8174,50.6242
J006,43.7717,43.7388
J007,44.2565,46.4608
J008,61.6047,60.1348
J009,45.6383,47.0865
J010,47.1965,46.0717
J011,57.0993,49.6495
J012,32.8147,29.4089
J013,42.9436,42.3637
J014,61.6158,55.7824
J015,33.1757,30.1112
J016,33.7194,41.1877
J017,74.3001,57.4215
J018,69.3297,53.6339
J019,51.8264,55.4042
J020,55.8630,50.0232
J021,37.5462,31.2984
J022,50.3017,45.7879
J023,39.6503,42.9285
J024,65.6009,47.5640
J025,40.1961,35.1590
J026,55.2091,47.9668
J027,52.6726,43.6929
J028,56.6729,43.2492
J029,50.7676,46.5134
J030,40.8780,37.7472
J031,54.3569,54.9159
J032,33.9704,29.8083
J033,48.7649,44.5643
J034,52.2947,49.3863
J035,45.6823,39.2290
J036,32.5365,35.0545
J037,45.6278,36.9237
J038,51.7694,37.2177
J039,80.4040,60.7386
J040,46.4972,43.9318
J041,54.8396,55.7191
J042,56.4943,46.4283
J043,49.0643,43.8924
J044,48.6614,36.8524
J045,43.6183,45.4990
J046,51.7773,49.8661
J047,49.4841,41.1095
J048,82.2552,52.6648
J049,72.8443,57.7235
J050,36.7530,25.1939
J051,55.8714,46.3168
J052,54.7967,49.6902
J053,57.6945,50.0247
J054,54.0146,47.9832
J055,54.5464,47.3427
J056,57.1999,56.3544
J057,53.2292,45.7047
J058,65.0912,53.6062
J059,52.0564,39.6018
J060,53.8869,50.0013
J061,48.5001,29.5665
J062,53.1349,47.8286
J063,55.0929,44.9464
J064,43.5083,42.7028
J065,39.9527,34.8729
J066,56.1534,47.9425
J067,55.0642,36.7075
J068,42.8377,43.2307
J069,43.8893,50.5336
J070,46.4159,43.1615
J071,49.8976,48.4704
J072,60.7810,54.3546
J073,54.5593,51.4583
J074,56.1609,43.2815
J075,46.8318,47.5494
J076,55.8156,48.6435
J077,47.1022,41.2023
J078,49.6894,43.0171
J079,50.0148,47.7867
J080,51.2919,51.8269
J081,41.8600,36.6094
J082,55.4302,48.1748
J083,52.5578,60.9674
J084,38.9061,34.7121
J085,51.1342,49.2797
J086,45.9662,43.1627
J087,40.8617,46.5266
J088,56.6597,47.7401
J089,52.6581,51.8336
J090,61.3772,52.2844
J091,49.0504,37.5138
J092,47.1443,36.7876
J093,44.8627,47.3133
J094,54.4122,43.5819
J095,54.8444,38.6870
J096,55.4279,52.8930
J097,54.1719,42.7881
J098,53.8098,54.5206
J099,58.9776,52.5113
J100,37.9289,29.4252
J101,48.1660,39.9163
J102,63.5968,55.7421
J103,56.9039,55.2809
J104,55.0268,54.7628
J105,38.6339,42.2009
J106,60.1911,46.3061
J107,44.7656,47.6595
J108,58.9241,50.1274
J109,54.2594,49.7269
J110,47.2281,41.2527
J111,60.9783,44.6870
J112,53.9092,53.4047
J113,46.7806,54.1909
J114,46.5971,50.0422
J115,54.2372,49.4509
J116,60.4204,42.9272
J117,52.8752,53.4583
J118,48.0878,43.4422
J119,63.5381,54.1963
J120,34.3933,28.8307
J121,58.1604,40.1482
J122,48.9412,39.5538
J123,60.8833,43.7928
J124,58.1845,52.1865
J125,54.3460,50.1654
J126,45.7148,41.4014
J127,67.2995,56.1650
J128,60.3721,51.1854
J129,41.1403,39.4534
J130,67.4934,55.6955
J131,39.0690,37.0326
J132,69.4412,56.2404
J133,48.6250,48.1750
J134,44.6854,36.4464
J135,59.5686,47.9031
J136,52.7062,52.4827
J137,58.0187,58.3451
J138,45.5998,40.8890
J139,57.2810,53.2436
J140,60.7237,43.0444
J141,52.8568,49.2550
J142,46.4287,49.3479
J143,49.5417,41.6350
J144,40.6437,42.1618
J145,62.8337,50.2073
J146,59.4004,53.2906
J147,67.8728,56.1603
J148,49.6855,55.3488
J149,39.2452,35.1939
J150,42.5849,39.5657
J151,47.4421,42.2549
J152,56.5426,50.2203
J153,42.1219,42.6897
J154,47.1533,39.3763
J155,46.8857,51.9727
J156,37.5457,31.8300
J157,45.2742,43.5275
J158,62.2420,57.4848
J159,50.8658,45.5971
J160,60.2576,46.2530
J161,56.8874,47.0764
J162,46.4809,46.1247
J163,48.7257,40.3934
J164,47.5657,34.7162
J165,43.6724,45.2663
J166,49.8073,39.3190
J167,56.0626,50.3517
J168,37.2435,30.1382
J169,43.3134,33.9994
J170,40.4803,37.1345
J171,53.9714,49.5158
J172,55.3253,55.3870
J173,48.8778,39.5039
J174,30.3285,36.1726
J175,49.9756,43.8682
J176,44.2400,46.5234
J177,59.7818,48.8092
J178,51.2014,42.8521
J179,63.1899,54.5703
J180,60.3970,60.0544
J181,36.3467,37.2142
J182,54.2649,49.0200
J183,44.9135,46.1481
J184,49.0872,41.4503
J185,42.7987,37.9816
J186,54.4383,52.5547
J187,39.8095,40.6508
J188,58.6526,52.5969
J189,42.1988,31.0050
J190,61.5475,51.2205
J191,46.9530,43.9989
J192,37.3738,28.1079
J193,46.6585,34.5186
J194,48.9281,48.0926
J195,43.7953,36.7447
J196,53.0615,39.1952
J197,47.0164,42.8380
J198,49.1972,50.9250
J199,57.3001,45.1151
J200,49.5216,41.6289
J201,43.9729,43.3877
J202,32.8790,26.6479
J203,47.0757,47.0325
J204,55.5439,50.4758
J205,55.4933,54.8152
J206,48.4998,40.5784
J207,39.9621,42.9030
J208,43.7205,40.5318
J209,51.6547,43.9372
J210,56.5397,53.4757
J211,46.1210,36.8395
J212,48.6017,47.4607
J213,48.7271,42.1944
J214,57.5274,57.1245
J215,85.8593,60.2061
J216,59.9117,49.9884
J217,42.5322,37.5095
J218,36.5833,34.8333
J219,25.2232,31.8564
J220,38.2912,47.1291
J221,48.5156,43.1178
J222,42.6340,39.6351
J223,53.6250,39.3983
J224,47.6399,41.3784
J225,55.1666,54.0701
J226,50.6154,49.6493
J227,54.5129,49.8585
J228,66.3498,52.1195
J229,42.3474,31.2562
J230,40.3281,37.9243
J231,43.6467,44.5545
J232,43.9778,43.7548
J233,46.4807,43.0472
J234,42.7317,31.5256
J235,53.3945,47.6397
J236,49.4248,58.8629
J237,46.9385,43.2386
J238,47.3733,40.8959
J239,65.4070,51.6128
