customer_id,segment,signup_day
C001,business,23
C002,consumer,55
C003,consumer,62
C004,business,196
C005,business,27
C006,consumer,102
C007,consumer,193
C008,business,90
C009,consumer,194
C010,consumer,22
C011,business,126
C012,business,143
C013,business,110
C014,business,8
C015,consumer,61
C016,business,80
C017,consumer,29
C018,consumer,197
C019,business,192
C020,consumer,152
C021,business,36
C022,business,53
C023,business,21
C024,consumer,170
C025,consumer,73
C026,consumer,22
C027,business,194
C028,consumer,106
C029,consumer,163
C030,business,189
C031,consumer,94
C032,consumer,2
C033,consumer,14
C034,business,54
C035,business,179
C036,consumer,158
C037,business,137
C038,consumer,119
C039,consumer,95
C040,consumer,38
C041,business,111
C042,consumer,53
C043,business,127
C044,business,84
C045,consumer,17
C046,consumer,4
C047,business,0
C048,consumer,87
C049,consumer,165
C050,consumer,41
C051,business,127
C052,consumer,145
C053,business,177
C054,consumer,23
C055,business,7
C056,business,67
C057,consumer,28
C058,business,76
C059,consumer,136
C060,consumer,141
C061,consumer,53
C062,business,8
C063,consumer,13
C064,business,85
C065,consumer,192
C066,business,137
C067,consumer,74
C068,business,52
C069,consumer,38
C070,business,46
C071,consumer,96
C072,business,198
C073,consumer,103
C074,consumer,84
C075,consumer,176
C076,consumer,18
C077,business,98
C078,consumer,85
C079,consumer,56
C080,consumer,111
C081,consumer,161
C082,business,154
C083,consumer,88
C084,consumer,198
C085,business,4
C086,consumer,94
C087,consumer,35
C088,business,138
C089,business,7
C090,consumer,113
