order_id,customer_id,amount,order_day
O0000,C056,15.33,207
O0001,C084,96.62,124
O0002,C090,27.86,305
O0003,C003,25.60,138
O0004,C083,21.54,242
O0005,C069,70.19,115
O0006,C019,38.41,198
O0007,C070,41.70,152
O0008,C076,75.86,240
O0009,C008,8.83,23
O0010,C078,29.32,230
O0011,C065,86.07,226
O0012,C057,32.94,286
O0013,C057,16.19,91
O0014,C020,77.33,121
O0015,C028,19.33,310
O0016,C010,79.93,145
O0017,C072,31.27,348
O0018,C014,38.31,252
O0019,C076,48.82,58
O0020,C017,20.87,344
O0021,C030,31.39,158
O0022,C022,14.33,152
O0023,C027,31.30,296
O0024,C043,41.09,36
O0025,C046,33.61,328
O0026,C002,20.87,145
O0027,C047,12.18,285
O0028,C052,41.50,346
O0029,C082,23.19,11
O0030,C019,10.20,129
O0031,C064,123.86,343
O0032,C060,50.55,79
O0033,C029,33.68,340
O0034,C020,79.97,226
O0035,C928,46.39,292
O0036,C054,57.50,119
O0037,C058,54.91,131
O0038,C012,13.31,113
O0039,C085,49.17,240
O0040,C037,88.12,63
O0041,C049,79.98,155
O0042,C066,40.98,65
O0043,C057,26.29,144
O0044,C066,58.82,344
O0045,C055,40.57,205
O0046,C089,32.50,315
O0047,C020,34.72,363
O0048,C030,4.68,23
O0049,C086,24.65,263
O0050,C040,25.16,191
O0051,C040,30.91,122
O0052,C021,23.43,45
O0053,C081,33.25,193
O0054,C016,29.19,74
O0055,C061,34.44,85
O0056,C067,35.77,131
O0057,C955,43.28,222
O0058,C932,67.04,22
O0059,C039,17.36,131
O0060,C079,25.49,144
O0061,C005,11.19,151
O0062,C088,51.50,115
O0063,C083,29.71,191
O0064,C079,75.69,297
O0065,C029,30.84,48
O0066,C090,11.95,39
O0067,C027,28.20,197
O0068,C041,15.71,198
O0069,C058,20.35,315
O0070,C915,44.06,14
O0071,C952,99.38,29
O0072,C085,114.78,10
O0073,C042,19.57,259
O0074,C053,33.28,49
O0075,C046,15.30,86
O0076,C075,6.09,177
O0077,C084,33.47,218
O0078,C069,22.79,359
O0079,C064,21.99,18
O0080,C017,60.95,198
O0081,C059,19.97,224
O0082,C005,36.73,316
O0083,C012,21.91,325
O0084,C005,26.42,188
O0085,C056,180.18,94
O0086,C062,66.53,324
O0087,C073,18.97,156
O0088,C051,7.77,319
O0089,C015,16.40,115
O0090,C087,9.71,262
O0091,C012,67.81,13
O0092,C087,39.61,25
O0093,C070,35.74,302
O0094,C047,12.15,217
O0095,C011,21.03,149
O0096,C025,46.29,169
O0097,C047,19.68,151
O0098,C029,28.70,17
O0099,C051,33.95,10
O0100,C047,13.12,31
O0101,C015,34.66,57
O0102,C054,12.78,55
O0103,C068,10.09,264
O0104,C009,63.28,9
O0105,C045,49.84,37
O0106,C058,20.97,138
O0107,C063,23.67,42
O0108,C064,39.00,238
